MatchId,BotType,Result,TimeMs,TotalClicks
0462,RandomBot,DEFEAT,0,6
0463,RandomBot,DEFEAT,0,6
0464,RandomBot,DEFEAT,0,3
0465,RandomBot,DEFEAT,0,2
0466,RandomBot,DEFEAT,0,4
0467,RandomBot,DEFEAT,0,2
0468,RandomBot,DEFEAT,0,9
0469,RandomBot,DEFEAT,0,3
0470,RandomBot,DEFEAT,0,3
0471,RandomBot,DEFEAT,0,4
0472,RandomBot,DEFEAT,0,11
0473,RandomBot,DEFEAT,0,3
0474,RandomBot,DEFEAT,0,3
0475,RandomBot,DEFEAT,0,3
0476,RandomBot,DEFEAT,0,4
0477,RandomBot,DEFEAT,0,6
0478,RandomBot,DEFEAT,0,2
0479,RandomBot,DEFEAT,0,3
0480,RandomBot,DEFEAT,0,8
0481,RandomBot,DEFEAT,0,3
0482,RandomBot,DEFEAT,0,3
0483,RandomBot,DEFEAT,0,1
0484,RandomBot,DEFEAT,0,4
0485,RandomBot,DEFEAT,0,3
0486,RandomBot,DEFEAT,0,2
0487,RandomBot,DEFEAT,0,4
0488,RandomBot,DEFEAT,0,2
0489,RandomBot,DEFEAT,0,2
0490,RandomBot,DEFEAT,0,6
0491,RandomBot,DEFEAT,0,10
0492,RandomBot,DEFEAT,0,2
0493,RandomBot,DEFEAT,0,2
0494,RandomBot,DEFEAT,0,4
0495,RandomBot,DEFEAT,1,5
0496,RandomBot,DEFEAT,0,1
0497,RandomBot,DEFEAT,0,1
0498,RandomBot,DEFEAT,0,7
0499,RandomBot,DEFEAT,0,8
0500,RandomBot,DEFEAT,0,1
0501,RandomBot,DEFEAT,0,2
0502,RandomBot,DEFEAT,0,1
0503,RandomBot,DEFEAT,0,5
0504,RandomBot,DEFEAT,0,9
0505,RandomBot,DEFEAT,0,4
0506,RandomBot,DEFEAT,0,6
0507,RandomBot,DEFEAT,0,3
0508,RandomBot,DEFEAT,0,3
0509,RandomBot,DEFEAT,0,3
0510,RandomBot,DEFEAT,0,2
0511,RandomBot,DEFEAT,0,2
0512,RandomBot,DEFEAT,0,3
0513,RandomBot,DEFEAT,0,8
0514,RandomBot,DEFEAT,0,6
0515,RandomBot,DEFEAT,0,7
0516,RandomBot,DEFEAT,0,3
0517,RandomBot,DEFEAT,0,3
0518,RandomBot,DEFEAT,0,3
0519,RandomBot,DEFEAT,0,6
0520,RandomBot,DEFEAT,0,5
0521,RandomBot,DEFEAT,0,7
0522,RandomBot,DEFEAT,0,2
0523,RandomBot,DEFEAT,0,1
0524,RandomBot,DEFEAT,0,3
0525,RandomBot,DEFEAT,0,3
0526,RandomBot,DEFEAT,0,2
0527,RandomBot,DEFEAT,0,1
0528,RandomBot,DEFEAT,0,5
0529,RandomBot,DEFEAT,0,4
0530,RandomBot,DEFEAT,0,5
0531,RandomBot,DEFEAT,0,6
0532,RandomBot,DEFEAT,0,8
0533,RandomBot,DEFEAT,0,3
0534,RandomBot,DEFEAT,0,6
0535,RandomBot,DEFEAT,0,7
0536,RandomBot,DEFEAT,0,5
0537,RandomBot,DEFEAT,0,1
0538,RandomBot,DEFEAT,0,1
0539,RandomBot,DEFEAT,0,3
0540,RandomBot,DEFEAT,0,8
0541,RandomBot,DEFEAT,0,6
0542,RandomBot,DEFEAT,0,2
0543,RandomBot,DEFEAT,0,1
0544,RandomBot,DEFEAT,1,3
0545,RandomBot,VICTORY,0,2
0546,RandomBot,DEFEAT,0,7
0547,RandomBot,DEFEAT,0,2
0548,RandomBot,DEFEAT,0,7
0549,RandomBot,DEFEAT,0,2
0550,RandomBot,DEFEAT,0,5
0551,RandomBot,DEFEAT,0,2
0552,RandomBot,DEFEAT,0,2
0553,RandomBot,DEFEAT,0,5
0554,RandomBot,DEFEAT,0,3
0555,RandomBot,DEFEAT,0,2
0556,RandomBot,VICTORY,0,2
0557,RandomBot,DEFEAT,0,4
0558,RandomBot,DEFEAT,0,6
0559,RandomBot,DEFEAT,0,2
0560,RandomBot,DEFEAT,0,2
0561,RandomBot,DEFEAT,1,3
0562,RandomBot,DEFEAT,0,2
0563,RandomBot,DEFEAT,0,8
0564,RandomBot,DEFEAT,0,4
0565,RandomBot,DEFEAT,0,3
0566,RandomBot,DEFEAT,0,9
0567,RandomBot,DEFEAT,0,7
0568,RandomBot,DEFEAT,0,5
0569,RandomBot,DEFEAT,0,2
0570,RandomBot,DEFEAT,0,4
0571,RandomBot,DEFEAT,0,4
0572,RandomBot,DEFEAT,0,1
0573,RandomBot,DEFEAT,0,5
0574,RandomBot,DEFEAT,0,2
0575,RandomBot,DEFEAT,0,2
0576,RandomBot,DEFEAT,0,3
0577,RandomBot,DEFEAT,0,9
0578,RandomBot,DEFEAT,0,4
0579,RandomBot,DEFEAT,0,5
0580,RandomBot,DEFEAT,0,6
0581,RandomBot,DEFEAT,0,2
0582,RandomBot,DEFEAT,0,6
0583,RandomBot,DEFEAT,0,1
0584,RandomBot,DEFEAT,0,5
0585,RandomBot,DEFEAT,0,2
0586,RandomBot,DEFEAT,0,4
0587,RandomBot,DEFEAT,0,3
0588,RandomBot,DEFEAT,0,9
0589,RandomBot,DEFEAT,0,7
0590,RandomBot,DEFEAT,0,5
0591,RandomBot,DEFEAT,0,4
0592,RandomBot,DEFEAT,0,4
0593,RandomBot,DEFEAT,0,5
0594,RandomBot,DEFEAT,0,3
0595,RandomBot,DEFEAT,0,5
0596,RandomBot,DEFEAT,0,6
0597,RandomBot,DEFEAT,0,1
0598,RandomBot,DEFEAT,0,3
0599,RandomBot,DEFEAT,0,6
0600,RandomBot,DEFEAT,0,8
0601,RandomBot,DEFEAT,0,4
0602,RandomBot,DEFEAT,0,2
0603,RandomBot,DEFEAT,0,5
0604,RandomBot,DEFEAT,0,2
0605,RandomBot,DEFEAT,0,3
0606,RandomBot,DEFEAT,0,8
0607,RandomBot,DEFEAT,0,3
0608,RandomBot,DEFEAT,0,8
0609,RandomBot,DEFEAT,0,4
0610,RandomBot,DEFEAT,0,2
0611,RandomBot,DEFEAT,0,3
0612,RandomBot,DEFEAT,0,5
0613,RandomBot,DEFEAT,0,2
0614,RandomBot,DEFEAT,0,3
0615,RandomBot,DEFEAT,0,5
0616,RandomBot,DEFEAT,0,9
0617,RandomBot,DEFEAT,0,1
0618,RandomBot,DEFEAT,0,3
0619,RandomBot,DEFEAT,0,4
0620,RandomBot,DEFEAT,0,3
0621,RandomBot,DEFEAT,0,5
0622,RandomBot,DEFEAT,1,3
0623,RandomBot,DEFEAT,0,4
0624,RandomBot,DEFEAT,0,5
0625,RandomBot,DEFEAT,0,2
0626,RandomBot,DEFEAT,0,5
0627,RandomBot,DEFEAT,0,2
0628,RandomBot,DEFEAT,0,12
0629,RandomBot,DEFEAT,0,3
0630,RandomBot,DEFEAT,0,7
0631,RandomBot,DEFEAT,0,3
0632,RandomBot,DEFEAT,0,3
0633,RandomBot,DEFEAT,0,8
0634,RandomBot,DEFEAT,0,3
0635,RandomBot,DEFEAT,0,3
0636,RandomBot,DEFEAT,0,2
0637,RandomBot,DEFEAT,0,4
0638,RandomBot,DEFEAT,0,5
0639,RandomBot,VICTORY,0,3
0640,RandomBot,DEFEAT,0,2
0641,RandomBot,DEFEAT,0,2
0642,RandomBot,DEFEAT,0,4
0643,RandomBot,DEFEAT,0,2
0644,RandomBot,DEFEAT,0,1
0645,RandomBot,DEFEAT,0,4
0646,RandomBot,DEFEAT,0,6
0647,RandomBot,DEFEAT,0,9
0648,RandomBot,DEFEAT,0,3
0649,RandomBot,DEFEAT,0,2
0650,RandomBot,DEFEAT,0,3
0651,RandomBot,DEFEAT,0,3
0652,RandomBot,DEFEAT,0,2
0653,RandomBot,DEFEAT,0,5
0654,RandomBot,DEFEAT,0,2
0655,RandomBot,DEFEAT,1,7
0656,RandomBot,DEFEAT,0,3
0657,RandomBot,DEFEAT,0,5
0658,RandomBot,DEFEAT,0,3
0659,RandomBot,DEFEAT,0,7
0660,RandomBot,DEFEAT,0,4
0661,RandomBot,DEFEAT,0,2
0662,RandomBot,DEFEAT,0,5
0663,RandomBot,DEFEAT,0,4
0664,RandomBot,DEFEAT,0,2
0665,RandomBot,DEFEAT,0,3
0666,RandomBot,DEFEAT,0,3
0667,RandomBot,DEFEAT,0,4
0668,RandomBot,DEFEAT,0,4
0669,RandomBot,DEFEAT,0,3
0670,RandomBot,DEFEAT,0,8
0671,RandomBot,DEFEAT,0,2
0672,RandomBot,DEFEAT,0,9
0673,RandomBot,DEFEAT,0,9
0674,RandomBot,DEFEAT,0,5
0675,RandomBot,DEFEAT,0,2
0676,RandomBot,DEFEAT,0,4
0677,RandomBot,DEFEAT,0,5
0678,RandomBot,DEFEAT,0,4
0679,RandomBot,DEFEAT,0,6
0680,RandomBot,DEFEAT,0,3
0681,RandomBot,DEFEAT,0,9
0682,RandomBot,DEFEAT,0,1
0683,RandomBot,DEFEAT,0,3
0684,RandomBot,DEFEAT,0,2
0685,RandomBot,DEFEAT,0,6
0686,RandomBot,DEFEAT,0,6
0687,RandomBot,DEFEAT,0,2
0688,RandomBot,DEFEAT,0,2
0689,RandomBot,DEFEAT,0,5
0690,RandomBot,DEFEAT,0,5
0691,RandomBot,DEFEAT,0,6
0692,RandomBot,DEFEAT,0,3
0693,RandomBot,DEFEAT,0,2
0694,RandomBot,DEFEAT,0,6
0695,RandomBot,DEFEAT,0,6
